Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-11-27,5,16,"[0.4496704638004303, 0.23138059675693512, -0.9982216954231262, -0.6968522071838379, -0.9584124088287354]",3.035130304098129,887.9047378262113
2024-11-27,5,17,"[0.23980648815631866, -0.1331920027732849, -0.9967144131660461, -0.8272619247436523, -0.9492157697677612]",3.2701406624913214,746.6981616787837
2024-11-27,5,18,"[0.024191532284021378, -0.13965101540088654, -0.9865964651107788, -0.7375239133834839, -0.9149088263511658]",3.2938483641296625,671.6029446924781
2024-11-27,5,19,"[-0.6237971186637878, -0.18613989651203156, -0.9708942174911499, -0.7216947078704834, -0.8336704969406128]",2.6825271878391503,662.8001792851423
2024-11-27,5,20,"[-0.42801937460899353, -0.07371406257152557, -0.9734899401664734, -0.6805850863456726, -0.827269971370697]",2.2630682007223366,598.7225565307243
2024-11-27,5,21,"[-0.35072439908981323, -0.09780681878328323, -0.9665282368659973, -0.7328663468360901, -0.7547672986984253]",1.9193582896143195,557.4596092037774
2024-11-27,5,22,"[-0.24458101391792297, -0.10900785028934479, -0.945285975933075, -0.6419705748558044, -0.7573317289352417]",1.679668895974755,668.1783721838184
2024-11-27,5,23,"[-0.07024654746055603, -0.36900806427001953, -0.9885996580123901, -0.8258726596832275, -0.9076555371284485]",1.6108272794634102,419.477402289031
2024-11-27,5,24,"[-0.05700206384062767, -0.13052184879779816, -0.8372474908828735, -0.37228795886039734, -0.5971326231956482]",1.554965256899595,370.37097632459415
2024-11-27,6,1,"[0.12966132164001465, -0.08438900113105774, -0.8205385208129883, -0.30046936869621277, -0.5547746419906616]",2.1270680952072145,357.2383073128039
2024-11-27,6,2,"[0.2327066957950592, 0.05382182076573372, -0.8519893288612366, -0.15488845109939575, -0.5934253334999084]",2.3551206570863723,361.72244892474686
2024-11-27,6,3,"[0.2933797538280487, -0.03463222458958626, -0.8759359121322632, -0.27996763586997986, -0.5777612328529358]",2.6426328158378602,395.50992375385204
2024-11-27,6,4,"[0.24423521757125854, -0.10265998542308807, -0.890806257724762, -0.2703768312931061, -0.6674683690071106]",2.8819833290576935,459.91956844718914
2024-11-27,6,5,"[0.14300872385501862, -0.12388591468334198, -0.9027783274650574, -0.23328149318695068, -0.7867968082427979]",3.0221318784356117,464.06045855551
2024-11-27,6,6,"[0.16078317165374756, -0.1380419284105301, -0.9075352549552917, -0.3116928040981293, -0.7753486633300781]",3.179699386656284,493.53287431602405
2024-11-27,6,7,"[0.12384757399559021, -0.12447822839021683, -0.9153128862380981, -0.37658819556236267, -0.8128132224082947]",3.3010700091719625,589.8091633881522
2024-11-27,6,8,"[-0.3044174015522003, -0.37900447845458984, -0.9015762209892273, -0.2578069865703583, -0.8521698117256165]",3.0027409556508062,601.6553451789343
2024-11-27,6,9,"[-0.33976292610168457, -0.30463993549346924, -0.9051619172096252, -0.2994731664657593, -0.8484066128730774]",2.6697732880711555,628.4015937793575
2024-11-27,6,10,"[0.23950468003749847, -0.1385607123374939, -0.9712640643119812, -0.3994799852371216, -0.8650940656661987]",2.904487874507904,710.2919971374498
2024-11-27,6,11,"[0.21754319965839386, -0.077102430164814, -0.9830734133720398, -0.4965684413909912, -0.8981584906578064]",3.11768021017313,684.5076678412261
2024-11-27,6,12,"[0.29513388872146606, 0.18020911514759064, -0.9885605573654175, -0.36354056000709534, -0.8665731549263]",3.4069114211201668,682.7421959014844
2024-11-27,6,13,"[0.1378600150346756, 0.20635230839252472, -0.9787614345550537, -0.42836928367614746, -0.8470691442489624]",3.5420142358541487,600.0503600657175
2024-11-27,6,14,"[0.012149376794695854, 0.13717715442180634, -0.9688466787338257, -0.2175159454345703, -0.7637365460395813]",3.5539206251129505,648.3422548172956
2024-11-27,6,15,"[0.366548627614975, 0.17797483503818512, -0.983931839466095, -0.39643943309783936, -0.7951186299324036]",3.6,563.045161376046
2024-11-27,6,16,"[0.29208454489707947, 0.04879133403301239, -0.9763014912605286, -0.6322501301765442, -0.8050306439399719]",3.6,642.1702874097375
2024-11-27,6,17,"[0.07318449765443802, -0.1066136434674263, -0.9779569506645203, -0.6555959582328796, -0.9350985884666443]",3.6,682.6031747370951
2024-11-27,6,18,"[-0.0283968523144722, -0.038521457463502884, -0.9839150905609131, -0.6681988835334778, -0.9292193651199341]",3.5721710847318175,760.6977592734165
2024-11-27,6,19,"[-0.32574576139450073, -0.1465139240026474, -0.9857034683227539, -0.6706672310829163, -0.9287724494934082]",3.252940238565207,791.2916051860254
2024-11-27,6,20,"[-0.5076959133148193, -0.13231688737869263, -0.9810686111450195, -0.7414706349372864, -0.8928831219673157]",2.7553982435166837,752.8155629576969
2024-11-27,6,21,"[-0.7063763737678528, -0.21189038455486298, -0.9707919359207153, -0.7059539556503296, -0.8410148024559021]",2.063149397224188,664.9353107974246
2024-11-27,6,22,"[-0.568385660648346, -0.27920955419540405, -0.9409494400024414, -0.6035111546516418, -0.7635296583175659]",1.5061314497888088,596.9282544060284
2024-11-27,6,23,"[-0.2143975794315338, -0.26949629187583923, -0.9343496561050415, -0.5465151071548462, -0.7639634013175964]",1.2960218219459056,557.4023064349792
2024-11-27,6,24,"[-0.15211357176303864, -0.1987348198890686, -0.9296478629112244, -0.48135802149772644, -0.7976892590522766]",1.1469505216181277,533.778253410666
2024-11-27,7,1,"[-0.11292462795972824, -0.21904246509075165, -0.922103762626648, -0.5335524082183838, -0.7637728452682495]",1.8893338645994664,514.0320883490148
2024-11-27,7,2,"[-0.10708309710025787, -0.23850032687187195, -0.8986945152282715, -0.4656217396259308, -0.7460100650787354]",1.7843924294412137,524.3018956735704
2024-11-27,7,3,"[-0.004259307403117418, -0.1854778379201889, -0.9206684827804565, -0.4679194688796997, -0.7777427434921265]",1.7802183081861587,524.720801942381
2024-11-27,7,4,"[-0.01695641689002514, -0.20711743831634521, -0.9189368486404419, -0.5061079263687134, -0.7520756721496582]",1.763601019633934,510.93913462837986
2024-11-27,7,5,"[-0.05024461820721626, -0.2357739806175232, -0.9009904861450195, -0.4143996238708496, -0.7637625932693481]",1.714361293790862,539.9132284277536
2024-11-27,7,6,"[-0.034854575991630554, -0.11049669981002808, -0.9255502223968506, -0.5158358812332153, -0.8106924891471863]",1.680203809319064,501.84519495527644
2024-11-27,7,7,"[-0.012045202776789665, -0.23841704428195953, -0.9108588099479675, -0.4065954387187958, -0.7802085876464844]",1.6683995105978102,505.381548391156
2024-11-27,7,8,"[-0.06496012955904007, -0.24028486013412476, -0.8969357013702393, -0.3319169580936432, -0.7669429779052734]",1.604738583629951,545.713319449094
2024-11-27,7,9,"[-0.4123014807701111, -0.23188799619674683, -0.9113426804542542, -0.5209569931030273, -0.7600895166397095]",1.200683132475242,523.0710016215671
2024-11-27,7,10,"[-0.21613366901874542, 0.03328517824411392, -0.9235917329788208, -0.32262229919433594, -0.7710400223731995]",0.9888721368368716,503.7632628712102
2024-11-27,7,11,"[-0.23047004640102386, -0.04384008049964905, -0.9057170152664185, -0.32386308908462524, -0.7683809995651245]",0.8,504.510048203738
2024-11-27,7,12,"[-0.27955883741378784, -0.10573069751262665, -0.9009658694267273, -0.35350847244262695, -0.7241595983505249]",0.8,641.4316214505358
